
Trần Mạnh Ninh,UCmtlbX56fbQ0kRWwSrhjTHw,PLd6y2XPQSeT1_Hanv7_c-D8n9twasWgIh,C:\Users\Nic-octro\Desktop\testpll\ninh,22/2/2020 4:18:14 PM
Tran Manh Ninh,UCmtlbX56fbQ0kRWwSrhjTHw,PLd6y2XPQSeT3czOZhpIJTdKCYLMNENaGT,C:\Users\Nic-octro\Desktop\testpll\ninh,22/2/2020 4:24:21 PM
Tran Manh Ninh,UCmtlbX56fbQ0kRWwSrhjTHw,PLd6y2XPQSeT2TU7YufGKazF0eOg3_9NB5,C:\Users\Nic-octro\Desktop\testpll\ninh,22/2/2020 4:28:49 PM
Mạnh Ninh,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jxCvTQAPCDr4n7iFttoGx1,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:00:47 PM
Brave: Anh hùng,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_iw4X0UtaOa51iosvtqrYim,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:02:34 PM
Careful: Cẩn thận,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_glNZe85kOp246Y7uNWu6Cx,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:04:19 PM
Cheerful: Vui vẻ,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_gQC9bJZHa9uTGsdh_HYxs8,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:05:57 PM
Easy going: Dễ gần.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_i6zQqzdTar5XQSBmeOYdhV,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:07:38 PM
Exciting: Thú vị,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jvN-Xe_nGQm4saAE7QYrgI,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:09:24 PM
Friendly: Thân thiện.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hNpNmsgTQhnmBVMlU7LWmR,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:11:15 PM
Funny: Vui vẻ,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_irQRublcC5Pj5BFzaP8X3X,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:12:51 PM
Generous: Hào phóng,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_j6FSosSwZC9gVYRKP3CuaB,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:14:40 PM
Hardworking: Chăm chỉ.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_iKnaIRZgBXAsrNH7082zQI,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:16:29 PM
Kind: Tốt bụng.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_ghcgAUzjwU0NkM7rAXaRZE,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:18:05 PM
Out going: Cởi mở.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_glY9knXcQL3mVb-HSDr45D,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:19:45 PM
Polite: Lịch sự.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hZr74TzNwa4R37oLuO4u0y,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:21:35 PM
Quiet: Ít nói,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_gW8ZYiz7IRWPBMHBzJIXlL,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:23:43 PM
Smart = intelligent: Thông minh.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_gklRzMgIseubJjAmT3A0yd,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:25:50 PM
Mạnh Ninh,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jkTsKEk_SNIxq3ZEiFxOSf,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:28:58 PM
Brave: Anh hùng,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_gottu8d8va1dPRy7s-CxGE,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:31:06 PM
Careful: Cẩn thận,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hNJWnU0kBaTqv_hv5xz04u,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:33:22 PM
Cheerful: Vui vẻ,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_h67TCzLgIfq-11CnB8Atxm,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:35:26 PM
Easy going: Dễ gần.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_iyxht7FH8zWIQ_B6I8VsFG,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:37:27 PM
Exciting: Thú vị,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hTKyrHqHhOZ8jLbRwYwYwy,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:39:31 PM
Friendly: Thân thiện.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hxuMBJcdUCmx3dSO5DH9iS,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:41:38 PM
Funny: Vui vẻ,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hcgG1hFCBH9gxgnYiHCFfG,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:43:40 PM
Generous: Hào phóng,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jRANkjjzDDXDPleix4PGUh,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:45:47 PM
Hardworking: Chăm chỉ.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jJ47Dm7TurzonkgAWgjb3W,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:47:53 PM
Kind: Tốt bụng.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hyZoX8uUypkkukvogklCtt,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:49:54 PM
Out going: Cởi mở.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_gmlzPLgJavqIJAM1G8ugIX,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:52:06 PM
Polite: Lịch sự.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_gNz_ptMrHs7AAfwShykfwJ,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:54:17 PM
Quiet: Ít nói,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_gne3i6wmxcpSOpE3D6B8wI,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:57:12 PM
Smart = intelligent: Thông minh.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_iyc9pV8TwN31mItxEFz_8I,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 5:59:24 PM
Sociable: Hòa đồng.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_h1FrSb8Qpo-8PZy6uDpNE6,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:01:27 PM
Soft: Dịu dàng,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jaeZ_RM79p1IUC4tIkEBU6,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:03:34 PM
Talented: Tài năng, có tài.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hubLE-QlmcqrZDQzE4sO6_,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:05:47 PM
Ambitious: Có nhiều tham vọng,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_hHCwO9BMokB4V5GgLLmJkL,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:07:50 PM
Cautious: Thận trọng.,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jVxuGSyqZCIiz7cmyl0vqq,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:10:01 PM
Competitive: Cạnh tranh, đua tranh,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jmBdU45bTDqGmO9pJ2aGJW,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:12:14 PM
Confident: Tự tin,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_ix_8YS3gW55dJCW2J5exsy,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:14:27 PM
Serious: Nghiêm túc,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jJB250YtQRo71pHg8nLTmc,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:16:43 PM
Creative: Sáng tạo,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_jkS9PNNSMLC0E6dSWkxJOO,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:18:47 PM
Dependable: Đáng tin cậy,UCno3Dlsm9-gx7TLTa2j_v4w,PLFPBuglQDF_igEvQNF49wevadDt7HOkPR,C:\Users\Nic-octro\Desktop\testpll\9,11/3/2020 6:20:52 PM
