14/10/19 14:32:06 PM	Start
14/10/19 14:34:55 PM	1
14/10/19 14:34:55 PM	41
14/10/19 14:36:59 PM	0
14/10/19 14:36:59 PM	40
14/10/19 14:40:47 PM	Start
14/10/19 14:43:09 PM	1
14/10/19 14:43:09 PM	40
14/10/19 14:46:05 PM	Start
14/10/19 14:48:42 PM	1
14/10/19 14:48:42 PM	41
14/10/19 14:50:55 PM	Start
14/10/19 14:53:24 PM	1
14/10/19 14:53:24 PM	41
14/10/19 14:58:29 PM	Start
14/10/19 15:01:34 PM	Start
14/10/19 15:02:33 PM	Start
14/10/19 15:06:43 PM	Start
14/10/19 15:11:42 PM	Start
14/10/19 15:14:04 PM	1
14/10/19 15:14:04 PM	41
14/10/19 15:31:43 PM	Start
14/10/19 15:54:46 PM	Start
